Cust_id,Responder,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18
1001,1,F,5447,F,8,Male,Unmarried,3,4,7,5,6,Cash,No,2,4,Yes,No,88
1002,1,F,1713,C,32,Female,Unmarried,4,1,5,5,1,Card,No,4,5,Yes,Yes,159
1003,1,H,5564,B,3,Male,Married,4,4,7,1,3,Coupon,No,5,3,Yes,Yes,90
1004,1,I,5937,C,76,Male,Married,4,1,3,3,3,Other,No,1,1,Yes,Yes,13
1005,1,H,3407,C,54,Female,Other,5,7,3,2,5,Other,Yes,5,3,Yes,Yes,112
1006,1,B,,E,176,Female,Unmarried,6,4,7,4,2,Coupon,Yes,2,1,Yes,No,198
1007,1,I,,B,69,Male,Married,5,4,4,5,4,Card,Yes,5,1,No,Yes,101
1008,1,B,,B,39,Male,Unmarried,5,3,6,5,3,Coupon,Yes,1,,Yes,No,46
1009,1,G,,D,34,Male,Unmarried,5,5,2,4,6,Coupon,Yes,3,,No,Yes,177
1010,1,D,,F,58,Female,Married,4,4,4,8,6,Other,Yes,3,,No,Yes,100
1011,1,E,,F,38,Female,Married,6,6,4,10,6,Coupon,Yes,4,,No,Yes,114
1012,1,C,,E,38,Female,Unmarried,5,2,2,2,3,Card,Yes,1,,No,No,46
1013,1,B,,D,47,Female,Other,6,6,7,1,3,Other,Yes,1,,No,No,67
1014,1,A,,E,15,Female,Unmarried,1,6,3,3,5,Coupon,Yes,4,,No,No,142
1015,1,G,,B,51,Female,Other,2,4,5,4,3,Other,Yes,3,,Yes,No,161
1016,1,D,,A,32,Male,Unmarried,3,2,7,3,7,Cash,Yes,2,,No,No,58
1017,1,E,,F,51,Male,Unmarried,6,7,10,2,8,Card,Yes,2,,Yes,No,144
1018,1,C,,A,65,Male,Married,5,7,10,2,9,Coupon,Yes,2,,No,No,196
1019,1,B,,C,41,Male,Married,7,2,5,5,4,Cash,Yes,1,,Yes,Yes,1800
1020,1,A,,A,8,Male,Married,6,7,7,7,10,Coupon,Yes,4,,No,No,66
1021,1,E,,B,39,Male,Married,6,4,3,2,4,Card,Yes,1,,No,Yes,29
1022,1,C,,C,56,Female,Married,7,1,5,9,4,Cash,Yes,3,,Yes,No,124
1023,1,B,,B,66,Male,Married,6,2,1,3,4,Card,Yes,4,,Yes,Yes,160
1024,1,A,,D,32,Male,Married,4,1,4,5,7,Coupon,Yes,3,,Yes,Yes,63
1025,1,G,,A,59,Male,Married,4,6,3,2,5,Card,Yes,3,,No,No,68
1026,1,F,,E,4,Female,Unmarried,4,6,3,3,5,Other,Yes,4,,No,Yes,198
1027,1,H,,B,79,Male,Unmarried,4,6,9,4,1,Cash,Yes,5,,No,No,196
1028,1,I,,A,48,Female,Married,4,1,3,3,2,Card,Yes,2,,No,Yes,99
1029,1,H,,F,49,Female,Married,5,3,5,2,5,Other,No,3,,Yes,Yes,85
1030,1,F,,A,61,Male,Married,4,2,5,5,2,Other,No,5,,No,No,60
1031,1,F,,C,47,Female,Married,4,2,9,5,4,Card,Yes,2,,Yes,No,155
1032,1,H,1616,A,71,Male,Unmarried,5,1,4,4,5,Cash,No,4,,Yes,Yes,8
1033,1,I,232,B,36,Female,Unmarried,4,3,8,2,4,Other,Yes,2,,Yes,No,121
1034,1,H,6013,C,44,Male,Married,4,3,1,2,3,Cash,Yes,4,,No,No,153
1035,1,B,5659,B,27,Male,Married,7,3,4,3,2,Card,Yes,4,,Yes,No,117
1036,1,I,7233,D,66,Male,Unmarried,5,7,2,3,8,Other,Yes,1,,No,No,198
1037,1,B,4764,A,26,Male,Other,4,2,1,1,4,Other,Yes,4,,Yes,No,117
1038,1,G,3590,C,23,Male,Unmarried,5,1,1,3,9,Other,No,3,,Yes,No,187
1039,1,D,5194,C,16,Male,Other,7,6,5,8,10,Cash,Yes,2,,Yes,Yes,71
1040,1,E,2614,E,51,Female,Married,7,1,5,3,2,Cash,Yes,5,,Yes,Yes,82
1041,1,C,3067,B,10,Male,Unmarried,6,4,3,5,2,Card,Yes,5,,Yes,Yes,101
1042,1,B,2549,B,72,Female,Other,4,2,3,7,4,Other,Yes,5,,Yes,Yes,131
1043,1,A,8973,D,21,Male,Other,5,4,5,6,1,Card,Yes,3,,Yes,Yes,174
1044,1,G,4493,F,73,Female,Other,7,6,3,5,4,Other,Yes,3,,No,No,78
1045,1,D,5958,F,71,Male,Married,5,6,7,5,2,Cash,Yes,3,,Yes,No,34
1046,1,E,1490,E,13,Female,Other,7,7,4,2,4,Coupon,Yes,3,,Yes,Yes,46
1047,1,C,6270,B,71,Male,Other,6,6,4,3,4,Other,Yes,1,,Yes,Yes,200
1048,1,B,747,C,62,Male,Married,4,2,2,2,3,Other,Yes,1,,No,No,196
1049,1,A,3159,B,62,Male,Married,7,1,3,3,3,Card,Yes,3,,No,Yes,30
1050,1,E,649,D,59,Male,Other,7,3,7,4,6,Coupon,Yes,3,,No,No,14
1051,1,C,8447,A,4,Male,Other,3,7,3,3,2,Card,Yes,2,,No,No,78
1052,1,B,6403,C,25,Female,Married,5,5,7,5,3,Other,Yes,2,,No,Yes,27
1053,1,A,5626,C,62,Female,Other,7,6,2,2,6,Other,Yes,2,,No,No,182
1054,1,G,3985,E,37,Male,Other,5,2,3,4,1,Coupon,Yes,4,,No,No,135
1055,1,F,1223,B,61,Female,Married,5,6,6,3,2,Coupon,Yes,4,,No,No,152
1056,1,H,1390,B,44,Female,Other,4,6,3,4,3,Coupon,Yes,3,,Yes,Yes,181
1057,1,I,5471,B,78,Female,Other,3,1,5,2,5,Cash,Yes,1,,No,No,94
1058,1,H,1051,D,30,Male,Married,3,2,2,3,5,Other,Yes,3,,No,Yes,83
1059,1,F,3288,F,4,Male,Married,5,2,1,4,5,Cash,Yes,5,,Yes,No,31
1060,1,F,2087,F,39,Male,Married,3,4,5,3,3,Coupon,Yes,4,,Yes,Yes,71
1061,1,H,6666,E,2,Female,Married,3,7,3,4,6,Other,Yes,2,,No,Yes,43
1062,1,I,4034,B,3,Female,Married,3,1,6,5,3,Other,Yes,4,,Yes,No,102
1063,1,H,2991,C,68,Female,Unmarried,3,1,6,3,6,Other,Yes,2,,Yes,Yes,114
1064,1,B,6477,B,21,Female,Other,5,5,4,5,5,Cash,No,3,,No,Yes,31
1065,1,I,6154,D,21,Male,Other,7,5,5,3,2,Coupon,No,2,,Yes,Yes,35
1066,1,B,6643,C,12,Male,Unmarried,4,1,2,3,4,Coupon,Yes,1,,No,Yes,103
1067,1,G,156,E,50,Female,Unmarried,7,6,7,1,1,Cash,Yes,1,,No,Yes,32
1068,1,D,343,B,75,Female,Unmarried,6,7,5,5,6,Other,Yes,5,,No,No,171
1069,1,E,6791,B,77,Female,Unmarried,4,5,7,5,3,Other,Yes,2,,No,No,13
