age1,salary,Num_Citylived,jobtype,dv_jt_other,dv_jt_govt,dv_jt_biz,dv_jt_pvt,Payer,dv_payer_parents,dv_payer_self,dv_payer_company,ClsRelativesCnt,Travel,dv_travel_low,dv_travel_medium,dv_travel_high,RelativesAbroad,dv_Rel_yes,dv_Rel_No,AvgBill,StdAvgBill
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,286.25,-2.822388905
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,239.25,-3.289089694
16,10000,1,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,310.25,-2.584073609
18,10000,3,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,347.25,-2.216670861
15,10000,1,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,290.25,-2.782669689
15,10000,3,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,409.25,-1.601023012
20,10000,1,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,406.25,-1.630812424
15,10000,3,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,354.25,-2.147162233
15,10000,1,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,257.25,-3.110353222
20,10000,1,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,268.25,-3.001125377
18,10000,3,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,337.25,-2.315968901
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,356.25,-2.127302625
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,292.25,-2.762810081
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,254.25,-3.140142634
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,346.25,-2.226600665
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,229.25,-3.388387734
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,300.25,-2.683371649
16,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,285.25,-2.832318709
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,326.25,-2.425196745
20,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,271.25,-2.971335965
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,306.25,-2.623792825
20,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,315.25,-2.534424589
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,243.25,-3.249370478
19,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,310.25,-2.584073609
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,335.25,-2.335828509
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,317.25,-2.514564981
