master_id,Responder,Age,Channel,FS_code,Marital_status,Gender,Prosperity_Index,WSI,IncomeGrp,No of prod1,MSL_prod1,MR_prod,LifeStage,No of prod2,MSL_prod2,num_of_cars,Family_doctor
10000,1,47,Direct,A,Yes,Female,High,1,3,10,16,Car,High,10,22,0,0
10001,1,47,Direct,A,Yes,Female,High,1,3,7,18,Car,High,5,31,3,0
10002,1,36,Direct,A,Yes,Female,Medium,2,3,7,27,Car,Medium,5,16,2,0
10003,1,37,Direct,A,Yes,Female,Low,3,1,7,30,Car,Low,4,24,2,0
10004,1,37,Direct,A,Yes,Female,Low,3,1,5,24,Car,Low,2,7,2,0
10005,1,37,Direct,A,Yes,Female,Medium,2,1,4,26,Car,Medium,9,14,3,0
10006,1,39,Direct,A,Yes,Female,High,1,2,6,18,Car,High,8,28,1,0
10007,1,25,Direct,A,No,Female,Medium,2,2,4,12,Car,Medium,2,35,3,1
10008,1,43,Direct,A,Yes,Female,High,1,1,9,9,Car,High,5,6,1,1
10009,1,29,Direct,A,No,Female,Medium,2,3,7,2,Car,Medium,10,20,0,0
10010,1,42,Direct,A,Yes,Female,High,1,3,4,30,Car,High,4,26,2,0
10011,1,45,Direct,A,Yes,Female,Low,3,3,7,11,Car,Low,2,12,3,1
10012,1,40,Direct,A,Yes,Female,Low,3,1,7,3,Car,Low,10,1,0,1
10013,1,47,Direct,A,No,Female,High,1,2,2,10,Car,High,5,4,1,1
10014,1,30,Direct,A,No,Female,High,1,3,9,8,Car,High,9,11,3,1
10015,1,33,Direct,A,No,Female,Medium,2,1,4,23,Car,Medium,2,21,4,0
10016,1,46,Direct,A,Yes,Female,High,1,1,4,8,Car,High,8,4,0,1
10017,1,34,Direct,A,Yes,Female,High,1,2,8,18,Car,High,9,24,3,0
10018,1,43,Direct,A,Yes,Female,Low,3,2,9,13,Car,Low,3,3,2,0
10019,1,40,Direct,A,Yes,Female,Medium,2,1,4,9,Car,Medium,1,19,0,0
10020,1,45,Direct,A,No,Female,Medium,2,1,3,28,Car,Medium,7,34,0,1
10021,1,43,Direct,A,Yes,Female,High,1,1,2,21,Car,High,9,22,0,1
10022,1,42,Direct,A,No,Female,High,1,1,7,23,Car,High,5,27,0,1
10023,1,39,Direct,A,Yes,Female,Low,3,3,3,4,Car,Low,4,32,1,1
10024,1,42,Direct,A,No,Female,Medium,2,3,3,23,Car,Medium,4,29,3,1
10025,1,45,Direct,A,Yes,Female,Medium,2,3,6,17,Car,Medium,5,28,3,0
10026,1,50,Direct,A,Yes,Female,Low,3,3,2,34,Car,Low,8,33,2,0
10027,1,35,Direct,A,No,Female,Medium,2,3,10,29,Car,Medium,9,30,1,0
10028,1,29,Direct,A,Yes,Female,Low,3,2,9,24,Car,Low,3,15,1,1
10029,1,44,Direct,A,Yes,Female,Medium,2,2,4,21,Car,Medium,6,18,3,1
