Cust_id,Inception_Date,Current_status,Duration,Acquisition_cost,Total_tran_6m,Total_tran_12m,Total_tran_18m,Avg_Tran_6m,Avg_Tran_12m,Avg_Tran_18m,Status,gender,age,marital_status,emp_status,no_of_dep,FS_code,no_complaints,only_promo_buyer_flg,value_cust_lvl,high_freq_cust_flg
1433,1-May-07,Y,12,138,194,584,996,79,188,173,1,1,4,1,1,3,2,11,2,3,1
1790,1-May-07,Y,33,112,192,123,661,102,190,169,0,1,3,2,3,3,1,29,2,1,1
1093,6-May-07,N,24,106,366,131,806,163,72,92,1,1,5,1,2,4,2,24,2,1,1
1727,8-May-07,N,29,52,352,693,589,106,111,101,0,2,2,2,3,2,3,17,1,1,2
1870,12-May-07,N,12,57,348,895,490,163,140,88,1,2,3,2,3,4,3,25,2,3,1
1539,15-May-07,N,15,110,30,429,783,155,191,132,1,1,5,1,1,4,2,19,2,3,1
1919,17-May-07,N,31,110,325,774,487,119,57,76,0,1,5,1,2,3,2,3,1,2,1
1500,18-May-07,N,30,134,316,378,191,74,86,109,0,1,3,2,1,3,2,22,1,3,2
1992,20-May-07,Y,11,72,121,343,368,200,152,57,1,2,4,2,3,1,2,11,1,3,1
1582,26-May-07,Y,36,64,305,24,799,159,118,69,0,1,4,2,1,4,2,10,2,1,1
1244,31-May-07,N,11,91,71,785,338,56,59,127,1,2,4,1,1,3,1,30,2,1,1
1332,1-Jun-07,N,34,86,240,839,283,173,58,200,0,1,3,1,2,2,1,5,2,2,2
1487,1-Jun-07,N,23,81,87,353,711,195,100,68,1,1,3,1,1,3,3,22,2,3,1
1885,4-Jun-07,Y,20,97,461,390,596,85,182,130,1,1,4,1,1,1,1,8,2,1,1
1619,7-Jun-07,N,30,103,4,896,991,157,130,133,0,2,1,1,1,2,1,1,1,2,2
1226,8-Jun-07,N,16,69,461,733,663,186,174,190,1,2,4,1,3,4,1,11,2,2,1
1970,8-Jun-07,N,9,113,395,67,63,52,126,197,1,2,4,2,1,2,3,11,2,1,1
1957,10-Jun-07,N,28,73,168,407,849,52,113,186,0,2,2,1,2,4,1,11,2,3,2
1694,11-Jun-07,N,28,84,218,697,137,88,130,111,0,2,1,1,2,4,3,20,1,1,1
1576,14-Jun-07,Y,22,115,443,804,367,160,57,66,1,2,4,1,1,4,3,11,2,3,1
1712,14-Jun-07,Y,26,60,254,522,913,60,69,141,0,1,3,2,3,1,1,9,2,3,1
1746,14-Jun-07,Y,16,142,189,195,753,180,104,157,1,2,5,1,1,3,3,11,1,1,1
1132,16-Jun-07,N,28,130,489,937,134,110,178,174,0,1,1,1,2,2,1,11,1,1,1
1461,18-Jun-07,Y,35,57,195,238,194,77,147,98,0,1,4,2,3,4,3,20,2,2,2
