"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Compostable and edible packaging: the companies waging war on plastic https://t.co/2bJsr7eHnl",FALSE,0,NA,2017-05-27 08:52:18,FALSE,NA,"868389387989635072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoongWu",0,FALSE,FALSE,NA,NA
"2","$1 OFF On TWO (2) NESTLÉ COFFEE-MATE Coffee Creamers, 32 oz. or larger (excluding natural bliss) https://t.co/s3B2Pe5dkj",FALSE,0,NA,2017-05-27 08:48:33,FALSE,NA,"868388442136342529",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Dolansm",0,FALSE,FALSE,NA,NA
"3","RT @Forbes: World's largest food and beverage companies:
1. Nestle
2. Pepsi
3. Coca-Cola 
https://t.co/ZcWCsnROu4 #Global2000 https://t.co/…",FALSE,0,NA,2017-05-27 08:48:08,FALSE,NA,"868388338549628929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nneusj",125,TRUE,FALSE,NA,NA
"4","RT @Forbes: World's largest food and beverage companies:
1. Nestle
2. Pepsi
3. Coca-Cola 
https://t.co/ZcWCsnROu4 #Global2000 https://t.co/…",FALSE,0,NA,2017-05-27 08:47:16,FALSE,NA,"868388122362617857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brutefoodie",125,TRUE,FALSE,NA,NA
"5","""They look lovely. I wish to nestle between them."" 

- Dende",FALSE,0,NA,2017-05-27 08:47:02,FALSE,NA,"868388063130419200",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","DBZAbridged_",0,FALSE,FALSE,NA,NA
"6","@tethysia Aren't Milkybars Nestle?",FALSE,0,"tethysia",2017-05-27 08:44:06,FALSE,"868383539481464832","868387322689200128","106500381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","accordingtoJonD",0,FALSE,FALSE,NA,NA
"7","Where #Nestlé guzzles water, local residents doubt claims of negligible impact #-send #water bill to @onetoughnerd  https://t.co/3AzBQLOnpq",FALSE,0,NA,2017-05-27 08:43:50,FALSE,NA,"868387257006346240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnitaNelson",0,FALSE,FALSE,NA,NA
"8","Kellogg and Nestlé announce snack reformulation - Kellogg has cut the amount of sugar in three of its cereal ba... https://t.co/a3i40dQrib",FALSE,0,NA,2017-05-27 08:33:04,FALSE,NA,"868384546181574656",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DSi77",0,FALSE,FALSE,NA,NA
"9","Candy &amp; Chocolate Gifts 
https://t.co/0VR3WHFp13 

#Candy
#Nestle
#Godiva
#GiftIdeas
#Chocolates
#Ghirardelli https://t.co/Dd0St6lZx4",FALSE,1,NA,2017-05-27 08:29:12,FALSE,NA,"868383573912555520",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","sportparadise",0,FALSE,FALSE,NA,NA
"10","Nestle at #TNAP2017! #HostingGig #rocketeer @ World Trade Center Metro Manila https://t.co/aHYB9Glkcl",FALSE,0,NA,2017-05-27 08:26:58,FALSE,NA,"868383010827251712",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mykabasco",0,FALSE,FALSE,"120.987636","14.550666"
"11","Just posted a photo https://t.co/eN9W8bBut1",FALSE,0,NA,2017-05-27 08:24:38,FALSE,NA,"868382424497082368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nestle_smile",0,FALSE,FALSE,NA,NA
"12","Just posted a photo https://t.co/hRNKpXZnMb",FALSE,0,NA,2017-05-27 08:23:07,FALSE,NA,"868382044170137600",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nestle_smile",0,FALSE,FALSE,NA,NA
"13","RT @StockmanNigeria: #Company News: #Nestle Nigeria plans new investments to boost growth",FALSE,0,NA,2017-05-27 08:20:42,FALSE,NA,"868381433835999232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StockmanNigeria",1,TRUE,FALSE,NA,NA
"14","RT @Nestle: James works for @Purina’s recycling team, helping to fight the war on waste: https://t.co/ZDqDMYD0er #GoodLife https://t.co/cKo…",FALSE,0,NA,2017-05-27 08:12:17,FALSE,NA,"868379314860982273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yemsking",2,TRUE,FALSE,NA,NA
"15","Join the Nestle Waters NA team! See our latest #job opening here: https://t.co/Nz3oALlKXj #SupplyChain NJ #Hiring #CareerArc",FALSE,0,NA,2017-05-27 08:10:41,FALSE,NA,"868378914048978944",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","NWNAjobs",0,FALSE,FALSE,NA,NA
"16","RT @BrianBienkowski: Kinda love seeing a @nytimes byline from little ol' Evart #Michigan. Don't mess w/#Michiganders #water. https://t.co/V…",FALSE,0,NA,2017-05-27 08:10:19,FALSE,NA,"868378820390383616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","coSsA5Wkq2MYi2P",4,TRUE,FALSE,NA,NA
"17","Want to work in #Livermore, CA? View our latest opening: https://t.co/m2XR7SYphV #SupplyChain #Job #Jobs #Hiring #CareerArc",FALSE,0,NA,2017-05-27 08:07:05,FALSE,NA,"868378008012206081",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","NWNAjobs",0,FALSE,FALSE,NA,NA
"18","@theIainMartin It's the Cadbury/Nestle thing for me. Lack of attention to detail actually made me angry.",FALSE,1,"theIainMartin",2017-05-27 08:06:39,FALSE,"868377440237826048","868377899975532545","21582323","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pyewackett333",0,FALSE,FALSE,NA,NA
"19","@Pyewackett333 Mainly because Milky Bars are made by nestle <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,0,"Pyewackett333",2017-05-27 08:04:18,FALSE,"868377022598438912","868377307416756224","377421547","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","APluckyHeroine",0,FALSE,FALSE,NA,NA
"20","RT @amakabela: 3. @Nestle  I wonder why in this age when we are breaking all barriers and stereotypes you have such advert running in Niger…",FALSE,0,NA,2017-05-27 08:03:14,FALSE,NA,"868377039262404608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chiunas",1,TRUE,FALSE,NA,NA
"21","RT @amakabela: 2. @Nestle Does it mean men can't use maggi?  Does it mean it only makes Women stars.",FALSE,0,NA,2017-05-27 08:03:04,FALSE,NA,"868376996144918528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chiunas",1,TRUE,FALSE,NA,NA
"22","RT @amakabela: 1. @Nestle your advert on maggi Nigeria is disturbing. It assigns gender roles-more like a stereotype-that women belong to t…",FALSE,0,NA,2017-05-27 08:02:56,FALSE,NA,"868376964574449664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chiunas",1,TRUE,FALSE,NA,NA
"23","RT @ProfByron: KitKat: Cadbury wins battle against Nestle over shape of four fingered bar. https://t.co/se8juG2uha",FALSE,0,NA,2017-05-27 08:00:46,FALSE,NA,"868376420548063232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ditakreschel",4,TRUE,FALSE,NA,NA
"24","Turn up the heat. Enter now and you can win a game console or 3D printer and 1 of 100s of smokin hot instant prizes https://t.co/oyaPZmT53D",FALSE,0,NA,2017-05-27 08:00:13,FALSE,NA,"868376281267789825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pinkgem22",0,FALSE,FALSE,NA,NA
