,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,
Jan-98,18.06334951,0.675053253,35.45164577,-8.529754767,44.65645379,,
Feb-98,17.89783988,-4.370044361,40.16572413,-16.15795023,51.95363,,
Mar-98,17.73233026,-9.484658459,44.94931897,-23.89246197,59.35712249,,
Apr-98,17.56682063,-14.73050622,49.86414748,-31.82767829,66.96131955,,
May-98,17.401311,-20.13486177,54.93748377,-40.00531135,74.80793335,,
Jun-98,17.23580137,-25.71012236,60.18172511,-48.44432112,82.91592387,,
Jul-98,17.07029174,-31.46143681,65.6020203,-57.15258203,91.29316551,,
Aug-98,16.90478212,-37.39015555,71.19971979,-66.13215938,99.94172361,,
Sep-98,16.73927249,-43.49555267,76.97409765,-75.381943,108.860488,,
Oct-98,16.57376286,-49.77574693,82.92327265,-84.89905578,118.0465815,,
Nov-98,16.40825323,-56.22821954,89.04472601,-94.67964555,127.496152,,
Dec-98,16.2427436,-62.85011575,95.33560296,-104.7193464,137.2048336,,
,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
,-1.465514,13.56816,10.80026,-44.24024,72.95231,0.7160395,0.09701554
