,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,
Jan-98,7.93389947,4.549984428,11.31781451,2.758648011,13.10915093,,
Feb-98,9.33406847,4.947646759,13.72049018,2.625615369,16.04252157,,
Mar-98,14.77272229,7.255554983,22.2898896,3.276206984,26.2692376,,
Apr-98,18.00354271,8.20385162,27.8032338,3.016208517,32.99087691,,
May-98,25.63483152,10.84241999,40.42724304,3.011790346,48.25787269,,
Jun-98,34.69597695,13.61711112,55.77484277,2.45863359,66.9333203,,
Jul-98,27.44708741,9.98641788,44.90775694,0.743297764,54.15087706,,
Aug-98,20.50576384,6.906081938,34.10544575,-0.29315479,41.30468248,,
Sep-98,15.96369449,4.965937338,26.96145165,-0.855923628,32.78331262,,
Oct-98,9.264377883,2.654512982,15.87424278,-0.844538134,19.3732939,,
Nov-98,8.877729291,2.334794516,15.42066407,-1.128825933,18.88428451,,
Dec-98,35.33803182,8.493500027,62.18256362,-5.717136706,76.39320035,,
,,,,,,,
,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
,-0.360046,3.601954,2.637614,-10.10293,20.33795,0.1748694,0.203538
