Cust_id,Plan_Chg_Flag,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
1000,Yes,North,Medium,Private,30,Male,0,200,7,Cash,Postpaid,1,1,300,300,300,300,10,50,500,2,1,300,300,100,50,20,Good
1001,Yes,Central,Low,Private,30,Female,3,200,15,Cash,Postpaid,1,1,300,300,600,300,10,50,1500,1,1,300,300,20,500,20,Poor
1002,Yes,Central,High,Private,50,Male,0,600,7,Card,Postpaid,2,1,600,300,600,300,10,50,1500,2,1,600,300,100,500,20,Poor
1003,Yes,South,High,Private,20,Male,3,600,7,Card,Postpaid,2,1,600,300,300,100,10,200,1500,1,1,300,600,100,500,20,Poor
1004,Yes,North,High,Private,20,Female,3,600,15,Card,Postpaid,2,1,600,600,300,300,10,50,500,2,2,600,600,100,500,20,Poor
1005,Yes,North,Low,Private,30,Female,0,200,15,Card,Postpaid,2,1,600,600,300,100,10,200,1500,1,1,600,300,20,50,20,Poor
1006,Yes,North,High,Private,50,Male,0,600,7,Card,Postpaid,2,1,600,300,600,100,300,50,1500,2,2,300,300,100,500,20,Poor
1007,Yes,North,Medium,Private,30,Female,3,200,15,Cash,Postpaid,2,1,300,600,300,100,10,200,500,2,2,300,600,20,500,20,Poor
1008,Yes,Central,Low,Private,30,Male,3,200,7,Cash,Postpaid,2,1,300,600,300,100,10,50,1500,2,2,600,300,20,500,20,Poor
1009,Yes,North,High,Private,20,Male,3,600,7,Card,Postpaid,2,1,600,300,600,300,300,200,500,2,1,300,600,100,500,20,Poor
1010,Yes,Central,High,Private,30,Female,0,600,15,Card,Postpaid,2,2,600,300,600,100,300,200,1500,2,1,600,600,20,500,20,Poor
1011,Yes,Central,Low,Private,30,Male,0,200,7,Card,Postpaid,2,2,600,300,300,300,10,50,500,1,2,300,300,20,50,20,Poor
1012,Yes,Central,Low,Unemployed,30,Male,0,600,7,Cash,Postpaid,2,2,300,600,600,100,10,200,500,2,2,300,600,20,500,20,Poor
1013,Yes,South,High,Govt,30,Male,3,200,7,Card,Postpaid,2,2,600,600,300,300,10,200,500,1,2,600,600,20,50,20,Poor
1014,Yes,Central,Medium,Private,30,Male,0,200,7,Cash,Postpaid,2,2,600,300,600,100,10,200,1500,1,2,300,300,100,500,20,Poor
1015,Yes,South,Low,Private,30,Female,3,600,15,Card,Postpaid,2,2,600,300,300,300,10,50,500,2,1,300,600,100,50,20,Poor
1016,Yes,Central,High,Unemployed,30,Female,0,200,15,Cash,Postpaid,2,2,600,600,600,100,300,200,500,1,1,300,600,20,50,20,Poor
